Formula,Structure type,Stoichiometry_A,Stoichiometry_B,Electronegativity difference (Pauling scale),Electronegativity difference (Martynov-Batsanov scale),Electronegativity difference (Gordy scale),Electronegativity difference (Mulliken scale),Electronegativity difference (Allred-Rochow scale),Mean electronegativity (Pauling scale),Mean electronegativity (Martynov-Batsanov scale),Mean electronegativity (Gordy scale),Mean electronegativity (Mulliken scale),Mean electronegativity (Allred-Rochow scale),Ionic character (Pauling scale),Ionic character (Martynov-Batsanov scale),Ionic character (Gordy scale),Ionic character (Mulliken scale),Ionic character (Allred-Rochow scale),Sum of valence electrons,Mean number of electrons,Atomic number sum,Atomic number difference,Mean atomic number,Atomic weight sum,Atomic weight difference,Mean atomic weight,Atomic radius sum,Mean atomic radius,Atomic radius ratio,2 x atomic radius difference,Covalent radius sum,Mean Covalent radius,Covalent radius ratio,2 x covalent radius difference,Zunger radius sum,Mean Zunger radius sum,Zunger radius sum ratio,2 x Zunger radius sum difference,Zunger radius sum difference,Ionic radius sum,Mean ionic radius,Ionic radius ratio,2 x Ionic radius difference,Crystal radius sum,Mean crystal radius,Crystal radius ratio,2 x Crystal radius difference,Period number sum,Mean period number,Period number difference,Group number sum,Mean group number,Group number difference,Family number sum,Mean family number,Family number difference,Quantum number (l) sum,Mean quantum number (l) mean,Quantum number (l) difference
CeRh,TlI,1,1,-1.16,-0.89,0.8472,-1.2,-0.47,3.7,1.545,4.1498,3.7,1.325,0.285662686,0.179650656,0.164259366,0.302323674,0.053727787,12,6,103,13,51.5,243.0205,37.2095,121.51025,3.2,1.6,1.37037037,6.4,2.9,1.45,1.32,5.8,7.02,3.51,1.785714286,3.96,1.98,3.2,1.6,1.37037037,1,1.96,0.98,1.419753086,0.68,11,5.5,1,12,6,-6,7,3.5,-1,5,2.5,1
CeRh,TlI,1,1,-1.16,-0.89,0.8472,-1.2,-0.47,3.7,1.545,4.1498,3.7,1.325,0.285662686,0.179650656,0.164259366,0.302323674,0.053727787,12,6,103,13,51.5,243.0205,37.2095,121.51025,3.2,1.6,1.37037037,6.4,2.9,1.45,1.32,5.8,7.02,3.51,1.785714286,3.96,1.98,3.2,1.6,1.37037037,1,1.96,0.98,1.419753086,0.68,11,5.5,1,12,6,-6,7,3.5,-1,5,2.5,1
CeRh,TlI,1,1,-1.16,-0.89,0.8472,-1.2,-0.47,3.7,1.545,4.1498,3.7,1.325,0.285662686,0.179650656,0.164259366,0.302323674,0.053727787,12,6,103,13,51.5,243.0205,37.2095,121.51025,3.2,1.6,1.37037037,6.4,2.9,1.45,1.32,5.8,7.02,3.51,1.785714286,3.96,1.98,3.2,1.6,1.37037037,1,1.96,0.98,1.419753086,0.68,11,5.5,1,12,6,-6,7,3.5,-1,5,2.5,1
CeRh,TlI,1,1,-1.16,-0.89,0.8472,-1.2,-0.47,3.7,1.545,4.1498,3.7,1.325,0.285662686,0.179650656,0.164259366,0.302323674,0.053727787,12,6,103,13,51.5,243.0205,37.2095,121.51025,3.2,1.6,1.37037037,6.4,2.9,1.45,1.32,5.8,7.02,3.51,1.785714286,3.96,1.98,3.2,1.6,1.37037037,1,1.96,0.98,1.419753086,0.68,11,5.5,1,12,6,-6,7,3.5,-1,5,2.5,1
CoTh,TlI,1,1,-0.58,-0.42,-0.6192,-1.1,-0.73,3.75,1.51,3.188,3.75,1.475,0.080660682,0.043141733,0.091401667,0.261031512,0.124731865,12,6,117,63,58.5,290.9713,173.1049,145.48565,3.15,1.575,1.333333333,6.3,2.81,1.405,1.422413793,5.62,7,3.5,2.465346535,5.92,2.96,3.15,1.575,1.333333333,0.9,1.73,0.865,2.203703704,1.3,11,5.5,3,12,6,-6,7,3.5,-1,4,2,0
CoTh,TlI,1,1,-0.58,-0.42,-0.6192,-1.1,-0.73,3.75,1.51,3.188,3.75,1.475,0.080660682,0.043141733,0.091401667,0.261031512,0.124731865,12,6,117,63,58.5,290.9713,173.1049,145.48565,3.15,1.575,1.333333333,6.3,2.81,1.405,1.422413793,5.62,7,3.5,2.465346535,5.92,2.96,3.15,1.575,1.333333333,0.9,1.73,0.865,2.203703704,1.3,11,5.5,3,12,6,-6,7,3.5,-1,4,2,0
CoTh,TlI,1,1,-0.58,-0.42,-0.6192,-1.1,-0.73,3.75,1.51,3.188,3.75,1.475,0.080660682,0.043141733,0.091401667,0.261031512,0.124731865,12,6,117,63,58.5,290.9713,173.1049,145.48565,3.15,1.575,1.333333333,6.3,2.81,1.405,1.422413793,5.62,7,3.5,2.465346535,5.92,2.96,3.15,1.575,1.333333333,0.9,1.73,0.865,2.203703704,1.3,11,5.5,3,12,6,-6,7,3.5,-1,4,2,0
CoTh,TlI,1,1,-0.58,-0.42,-0.6192,-1.1,-0.73,3.75,1.51,3.188,3.75,1.475,0.080660682,0.043141733,0.091401667,0.261031512,0.124731865,12,6,117,63,58.5,290.9713,173.1049,145.48565,3.15,1.575,1.333333333,6.3,2.81,1.405,1.422413793,5.62,7,3.5,2.465346535,5.92,2.96,3.15,1.575,1.333333333,0.9,1.73,0.865,2.203703704,1.3,11,5.5,3,12,6,-6,7,3.5,-1,4,2,0
CoTh,TlI,1,1,-0.58,-0.42,-0.6192,-1.1,-0.73,3.75,1.51,3.188,3.75,1.475,0.080660682,0.043141733,0.091401667,0.261031512,0.124731865,12,6,117,63,58.5,290.9713,173.1049,145.48565,3.15,1.575,1.333333333,6.3,2.81,1.405,1.422413793,5.62,7,3.5,2.465346535,5.92,2.96,3.15,1.575,1.333333333,0.9,1.73,0.865,2.203703704,1.3,11,5.5,3,12,6,-6,7,3.5,-1,4,2,0
CoY,TlI,1,1,-0.66,-0.31,-0.0933,-1.11,-0.72,3.745,1.565,3.45095,3.745,1.48,0.103179905,0.023738697,0.002173856,0.265103055,0.121553261,12,6,66,12,33,147.83905,29.97265,73.919525,3.15,1.575,1.333333333,6.3,2.78,1.39,1.396551724,5.56,4.96,2.48,1.455445545,1.84,0.92,3.2,1.6,1.37037037,1,1.58,0.79,1.925925926,1,9,4.5,1,12,6,-6,7,3.5,-1,4,2,0
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.083345821,0.072836172,0.304082674,0.002496878,0.104961907,6,3,97,35,48.5,232.223,92.777,116.1115,3.05,1.525,1.346153846,6.1,2.85,1.425,1.261904762,5.7,5.365,2.6825,2.16519174,3.95,1.975,3.05,1.525,1.346153846,0.9,1.81,0.905,1.381578947,0.58,10,5,2,16,8,-10,8,4,-2,4,2,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.083345821,0.072836172,0.304082674,0.002496878,0.104961907,6,3,97,35,48.5,232.223,92.777,116.1115,3.05,1.525,1.346153846,6.1,2.85,1.425,1.261904762,5.7,5.365,2.6825,2.16519174,3.95,1.975,3.05,1.525,1.346153846,0.9,1.81,0.905,1.381578947,0.58,10,5,2,16,8,-10,8,4,-2,4,2,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.083345821,0.072836172,0.304082674,0.002496878,0.104961907,6,3,97,35,48.5,232.223,92.777,116.1115,3.05,1.525,1.346153846,6.1,2.85,1.425,1.261904762,5.7,5.365,2.6825,2.16519174,3.95,1.975,3.05,1.525,1.346153846,0.9,1.81,0.905,1.381578947,0.58,10,5,2,16,8,-10,8,4,-2,4,2,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.083345821,0.072836172,0.304082674,0.002496878,0.104961907,6,3,97,35,48.5,232.223,92.777,116.1115,3.05,1.525,1.346153846,6.1,2.85,1.425,1.261904762,5.7,5.365,2.6825,2.16519174,3.95,1.975,3.05,1.525,1.346153846,0.9,1.81,0.905,1.381578947,0.58,10,5,2,16,8,-10,8,4,-2,4,2,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.083345821,0.072836172,0.304082674,0.002496878,0.104961907,6,3,97,35,48.5,232.223,92.777,116.1115,3.05,1.525,1.346153846,6.1,2.85,1.425,1.261904762,5.7,5.365,2.6825,2.16519174,3.95,1.975,3.05,1.525,1.346153846,0.9,1.81,0.905,1.381578947,0.58,10,5,2,16,8,-10,8,4,-2,4,2,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.083345821,0.072836172,0.304082674,0.002496878,0.104961907,6,3,97,35,48.5,232.223,92.777,116.1115,3.05,1.525,1.346153846,6.1,2.85,1.425,1.261904762,5.7,5.365,2.6825,2.16519174,3.95,1.975,3.05,1.525,1.346153846,0.9,1.81,0.905,1.381578947,0.58,10,5,2,16,8,-10,8,4,-2,4,2,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.083345821,0.072836172,0.304082674,0.002496878,0.104961907,6,3,97,35,48.5,232.223,92.777,116.1115,3.05,1.525,1.346153846,6.1,2.85,1.425,1.261904762,5.7,5.365,2.6825,2.16519174,3.95,1.975,3.05,1.525,1.346153846,0.9,1.81,0.905,1.381578947,0.58,10,5,2,16,8,-10,8,4,-2,4,2,2
