Formula,Structure type,Stoichiometry_A,Stoichiometry_B,Electronegativity difference (Pauling scale),Electronegativity difference (Martynov-Batsanov scale),Electronegativity difference (Gordy scale),Electronegativity difference (Mulliken scale),Electronegativity difference (Allred-Rochow scale),Mean electronegativity (Pauling scale),Mean electronegativity (Martynov-Batsanov scale),Mean electronegativity (Gordy scale),Mean electronegativity (Mulliken scale),Mean electronegativity (Allred-Rochow scale),Ionic character (Martynov-Batsanov scale),Sum of valence electrons,Atomic number sum,Atomic weight sum,Atomic radius sum,Atomic radius ratio,Covalent radius sum,Covalent radius ratio,2 x covalent radius difference,Zunger radius sum ratio,2 x Zunger radius sum difference,Zunger radius sum difference,Ionic radius ratio,2 x Ionic radius difference,Crystal radius sum,Crystal radius ratio,2 x Crystal radius difference,Period number difference,Group number sum,Group number difference,Family number sum,Quantum number (l) sum,Quantum number (l) difference
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.072836172,6,97,232.223,3.05,1.346153846,2.85,1.261904762,5.7,2.16519174,3.95,1.975,1.346153846,0.9,1.81,1.381578947,0.58,2,16,-10,8,4,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.072836172,6,97,232.223,3.05,1.346153846,2.85,1.261904762,5.7,2.16519174,3.95,1.975,1.346153846,0.9,1.81,1.381578947,0.58,2,16,-10,8,4,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.072836172,6,97,232.223,3.05,1.346153846,2.85,1.261904762,5.7,2.16519174,3.95,1.975,1.346153846,0.9,1.81,1.381578947,0.58,2,16,-10,8,4,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.072836172,6,97,232.223,3.05,1.346153846,2.85,1.261904762,5.7,2.16519174,3.95,1.975,1.346153846,0.9,1.81,1.381578947,0.58,2,16,-10,8,4,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.072836172,6,97,232.223,3.05,1.346153846,2.85,1.261904762,5.7,2.16519174,3.95,1.975,1.346153846,0.9,1.81,1.381578947,0.58,2,16,-10,8,4,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.072836172,6,97,232.223,3.05,1.346153846,2.85,1.261904762,5.7,2.16519174,3.95,1.975,1.346153846,0.9,1.81,1.381578947,0.58,2,16,-10,8,4,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.072836172,6,97,232.223,3.05,1.346153846,2.85,1.261904762,5.7,2.16519174,3.95,1.975,1.346153846,0.9,1.81,1.381578947,0.58,2,16,-10,8,4,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.072836172,6,97,232.223,3.05,1.346153846,2.85,1.261904762,5.7,2.16519174,3.95,1.975,1.346153846,0.9,1.81,1.381578947,0.58,2,16,-10,8,4,2
DyGe,TlI,1,1,-0.79,-0.84,0.7308,-1.5,-0.904,3.85,1.57,5.006,3.85,1.542,0.161717397,7,98,235.11,3,1.4,2.81,1.303278689,5.62,2.352564103,4.22,2.11,1.4,1,1.58,1.981132075,1.04,2,17,-11,9,4,2
DyGe,TlI,1,1,-0.79,-0.84,0.7308,-1.5,-0.904,3.85,1.57,5.006,3.85,1.542,0.161717397,7,98,235.11,3,1.4,2.81,1.303278689,5.62,2.352564103,4.22,2.11,1.4,1,1.58,1.981132075,1.04,2,17,-11,9,4,2
DyGe,TlI,1,1,-0.79,-0.84,0.7308,-1.5,-0.904,3.85,1.57,5.006,3.85,1.542,0.161717397,7,98,235.11,3,1.4,2.81,1.303278689,5.62,2.352564103,4.22,2.11,1.4,1,1.58,1.981132075,1.04,2,17,-11,9,4,2
DyGe,TlI,1,1,-0.79,-0.84,0.7308,-1.5,-0.904,3.85,1.57,5.006,3.85,1.542,0.161717397,7,98,235.11,3,1.4,2.81,1.303278689,5.62,2.352564103,4.22,2.11,1.4,1,1.58,1.981132075,1.04,2,17,-11,9,4,2
DyGe,TlI,1,1,-0.79,-0.84,0.7308,-1.5,-0.904,3.85,1.57,5.006,3.85,1.542,0.161717397,7,98,235.11,3,1.4,2.81,1.303278689,5.62,2.352564103,4.22,2.11,1.4,1,1.58,1.981132075,1.04,2,17,-11,9,4,2
