,Component_1 (18.058%),Component_2 (7.428%),Component_3 (9.389%),Component_4 (4.083%),Component_5 (3.959%),Component_6 (2.898%),Component_7 (3.207%),Component_8 (1.371%),Component_9 (2.111%)
range_Atomic_Radius,-0.05,0.086,-0.007,0.026,0.056,-0.053,0.077,0.007,0.072
range_Miracle_Radius_,-0.053,-0.038,0.091,0.052,0.084,-0.006,0.01,0.015,-0.013
range_Covalent_Radius,-0.067,-0.048,0.103,0.105,0.049,0.001,0.005,-0.008,-0.022
range_Zunger_radii_sum,-0.059,0.052,0.035,0.016,0.065,0.042,0.007,0.068,-0.03
range_ionic_radius,-0.063,-0.024,0.089,0.124,0.048,-0.025,0.053,-0.062,-0.02
range_crystal_radius,-0.052,-0.05,0.067,0.056,0.102,0.03,0.007,0.018,-0.048
range_Pauling_Electronegativity,-0.022,0.072,0.071,-0.02,0.018,0.027,0.074,-0.08,-0.011
range_MB_electonegativity,-0.067,0.067,0.031,0.013,0.007,0.03,0.099,-0.111,0.02
range_Gordy_electonegativity,0.04,-0.092,0.095,0.064,-0.049,0.016,0.038,0.065,0.1
range_Mulliken_EN,-0.032,0.01,0.035,-0.066,0.04,0.176,0.074,-0.113,0.054
range_Allred-Rockow_electronegativity,-0.07,0.068,0.042,0.005,0.04,0.048,0.011,-0.004,0.013
range_metallic_valence,0.064,-0.048,0.068,0.144,-0.067,0.008,-0.08,0.092,-0.055
range_number_of_valence_electrons,0.084,-0.028,0.056,0.109,-0.073,0.079,-0.097,0.043,-0.021
range_gilmor_number_of_valence_electron,-0.034,0.025,-0.043,-0.023,-0.018,0.076,0.078,-0.156,-0.016
range_valence_s,0.064,-0.028,0.047,-0.068,-0.017,-0.03,0.074,0.009,-0.136
range_valence_p,-0.07,0.018,-0.079,0.046,-0.036,0.045,0.046,0.08,-0.045
range_valence_d,0.077,0.167,-0.058,0.032,-0.069,0.088,-0.042,-0.027,0.008
range_valence_f,0.003,0.021,0.05,-0.011,0.006,-0.017,0.052,0.098,0.141
range_Number_of_unfilled_s_valence_electrons,0.064,-0.028,0.047,-0.068,-0.017,-0.03,0.074,0.009,-0.136
range_Number_of_unfilled_p_valence_electrons,-0.07,0.018,-0.079,0.046,-0.036,0.045,0.046,0.08,-0.045
range_Number_of_unfilled_d_valence_electrons,0.077,0.167,-0.058,0.032,-0.069,0.088,-0.042,-0.027,0.008
range_Number_of_unfilled_f_valence_electrons,0.003,0.021,0.05,-0.011,0.006,-0.017,0.052,0.098,0.141
range_outer_shell_electrons,0.019,-0.056,-0.01,-0.024,0.103,-0.073,0.109,0.023,-0.12
range_1st_ionization_potential_(kJ/mol),-0.052,0.024,0.021,-0.119,0.051,0.204,0.005,-0.051,-0.006
range_polarizability(A^3),-0.06,0.026,0.089,0.071,0.015,0.025,0.02,-0.044,-0.024
range_Melting_point_(K),-0.012,-0.017,0.02,-0.006,-0.085,-0.165,0.06,0.065,0.008
range_Boiling_Point_(K),0.044,0.101,-0.036,-0.041,-0.011,0.038,0.083,0.068,-0.05
range_Density_(g/mL),0.078,-0.016,0.018,-0.004,0.017,0.035,0.092,0.069,0.01
range_specific_heat_(J/g_K)_,0.023,0.004,-0.027,-0.008,0.134,0.083,-0.054,0.076,0.069
range_heat_of_fusion_(kJ/mol)_,-0.008,0.0,-0.063,-0.034,0.139,0.054,0.054,-0.048,-0.014
range_heat_of_vaporization_(kJ/mol)_,0.008,0.058,-0.018,0.0,-0.09,0.01,0.124,-0.003,0.015
range_thermal_conductivity_(W/(m_K))_,0.035,0.025,-0.009,-0.065,0.134,0.113,-0.075,0.024,-0.032
range_heat_atomization(kJ/mol),0.065,0.098,-0.013,-0.035,-0.027,-0.046,0.155,-0.005,0.057
range_Cohesive_energy,0.066,0.102,-0.015,-0.044,-0.022,-0.042,0.14,0.013,0.04
max_Atomic_Number,-0.03,-0.03,0.101,-0.027,-0.002,0.061,0.044,0.079,0.085
max_Atomic_Weight,-0.031,-0.035,0.103,-0.019,-0.006,0.058,0.048,0.074,0.09
max_Period,-0.048,-0.015,0.102,-0.01,0.007,0.041,0.053,0.029,0.086
max_group,-0.088,-0.02,-0.074,0.015,-0.015,0.025,0.012,0.109,-0.052
max_families,-0.076,-0.012,-0.085,0.008,0.022,0.044,0.035,0.082,-0.069
max_Metal,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
max_Nonmetal,-0.043,-0.003,-0.065,0.116,-0.055,0.089,0.036,-0.015,0.002
max_Metalliod,-0.036,-0.033,-0.001,-0.117,0.106,-0.021,0.063,0.03,-0.053
max_Mendeleev_Number,-0.089,-0.017,-0.073,0.006,-0.026,0.033,0.021,0.099,-0.055
max_l_quantum_number,0.002,0.135,0.016,0.026,0.033,-0.012,-0.007,0.108,-0.026
max_Atomic_Radius,-0.022,0.099,0.042,-0.002,0.026,-0.055,0.068,-0.017,0.059
max_Miracle_Radius_,-0.077,0.01,0.092,0.014,0.0,0.02,-0.005,0.004,-0.012
max_Covalent_Radius,-0.075,0.007,0.09,0.017,0.016,0.029,-0.011,-0.004,-0.044
max_Zunger_radii_sum,-0.036,0.053,0.072,0.016,0.036,0.05,-0.002,0.042,-0.032
max_ionic_radius,-0.071,0.02,0.092,0.052,0.001,0.013,0.004,-0.046,-0.019
max_crystal_radius,-0.081,-0.008,0.093,0.017,0.007,0.027,-0.005,-0.017,-0.04
max_Pauling_Electronegativity,0.053,-0.013,0.026,-0.091,-0.027,0.044,0.158,-0.071,-0.024
max_MB_electonegativity,-0.044,-0.029,-0.033,0.021,-0.061,0.067,0.166,-0.111,-0.027
max_Gordy_electonegativity,0.007,-0.051,0.08,0.005,-0.038,0.032,0.073,0.109,0.08
max_Mulliken_EN,0.025,-0.039,0.002,0.006,-0.005,0.178,0.104,-0.038,0.044
max_Allred-Rockow_electronegativity,-0.075,-0.036,-0.054,0.035,0.002,0.088,0.005,0.031,0.068
max_metallic_valence,0.11,-0.041,0.032,0.08,-0.026,0.013,-0.045,0.042,-0.018
max_number_of_valence_electrons,0.111,-0.016,0.024,0.059,-0.057,0.065,-0.068,0.034,0.002
max_gilmor_number_of_valence_electron,-0.017,0.023,-0.091,0.014,-0.054,0.014,0.16,-0.15,0.038
max_valence_s,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
max_valence_p,-0.086,-0.019,-0.07,0.03,-0.041,0.047,0.048,0.044,-0.026
