,Component_1 (11.504%),Component_2 (2.819%),Component_3 (4.789%),Component_4 (2.909%),Component_5 (2.246%),Component_6 (4.423%),Component_7 (2.170%),Component_8 (1.442%),Component_9 (2.366%)
avg_27,0.043,-0.026,-0.008,-0.037,0.005,-0.013,0.049,0.003,0.021
avg_28,0.047,-0.018,0.009,-0.025,-0.001,-0.012,-0.002,0.013,0.014
avg_29,-0.046,0.017,-0.018,0.024,-0.003,-0.024,-0.03,-0.013,-0.005
avg_30,0.035,-0.023,-0.022,-0.033,-0.024,0.012,0.021,-0.015,0.013
avg_31,0.039,0.013,0.024,-0.005,-0.041,-0.001,0.02,0.057,0.035
avg_32,0.004,-0.026,-0.032,0.021,-0.018,0.02,-0.018,0.013,0.051
avg_33,-0.001,0.024,0.041,-0.036,-0.0,-0.051,0.015,-0.004,0.01
avg_34,-0.011,-0.014,-0.022,0.023,-0.012,0.061,0.003,0.038,0.027
avg_35,-0.037,0.01,0.022,-0.03,-0.027,-0.015,-0.028,0.036,-0.011
avg_36,-0.022,-0.016,-0.013,0.024,0.04,0.009,0.005,-0.003,-0.019
avg_37,0.003,-0.025,-0.041,-0.018,-0.025,-0.043,-0.037,-0.01,-0.016
avg_38,0.036,-0.039,0.017,-0.005,0.028,0.066,-0.042,0.019,-0.019
avg_39,-0.015,0.001,-0.027,0.051,0.031,-0.014,-0.038,0.018,0.013
avg_40,-0.013,-0.019,-0.071,0.011,-0.014,-0.024,0.01,-0.001,0.008
avg_41,-0.01,0.023,0.009,0.032,0.004,0.039,0.045,-0.028,-0.006
avg_42,-0.048,0.022,0.002,0.009,-0.0,-0.014,-0.04,0.024,0.022
avg_43,-0.02,0.014,-0.028,0.054,-0.006,-0.022,-0.039,0.009,-0.006
avg_44,0.015,0.025,0.031,0.028,0.014,-0.04,0.007,-0.01,0.034
avg_45,0.034,-0.001,0.019,-0.021,-0.029,-0.021,0.042,-0.007,0.018
avg_46,-0.062,0.002,-0.007,-0.019,-0.022,-0.014,-0.019,0.017,-0.002
avg_47,0.035,0.007,0.006,0.048,0.062,-0.008,0.031,-0.006,-0.004
avg_48,-0.057,0.029,-0.012,0.024,-0.019,0.003,-0.019,-0.012,0.023
avg_49,-0.011,-0.003,-0.037,-0.005,-0.01,0.052,0.027,-0.01,-0.002
avg_50,-0.027,-0.0,-0.041,0.017,0.01,-0.006,-0.007,0.022,0.007
avg_51,0.04,0.021,0.033,-0.019,-0.022,0.005,0.045,-0.018,0.014
avg_52,-0.025,0.002,0.021,-0.034,0.013,0.023,0.04,-0.025,0.004
avg_53,0.049,0.035,0.012,0.023,-0.013,0.02,0.023,-0.048,-0.008
avg_54,0.019,-0.02,-0.028,-0.021,-0.066,-0.016,0.005,0.025,0.0
avg_55,0.012,0.004,0.031,-0.026,-0.035,0.007,0.03,0.003,0.027
avg_56,-0.01,-0.04,0.006,-0.044,-0.001,-0.034,0.007,0.036,0.064
avg_57,-0.029,0.007,0.036,-0.011,-0.028,0.052,-0.001,-0.01,-0.003
avg_58,-0.002,0.013,-0.02,0.046,0.007,-0.026,-0.026,-0.023,0.009
avg_59,0.024,-0.012,-0.009,-0.003,-0.007,0.015,0.042,0.001,-0.026
avg_60,0.032,-0.005,0.05,-0.009,-0.015,0.011,0.009,0.008,-0.001
avg_61,0.018,0.019,0.01,-0.005,-0.047,0.01,0.033,0.011,-0.004
avg_62,-0.019,0.014,-0.012,0.009,0.027,-0.018,0.005,0.004,0.032
avg_63,-0.038,0.01,0.028,-0.009,0.024,-0.03,0.001,0.033,0.005
avg_64,-0.006,0.007,0.038,-0.023,-0.003,-0.004,0.026,-0.042,0.017
avg_65,0.049,-0.005,-0.004,0.016,0.015,0.018,0.004,0.033,0.043
avg_66,0.039,-0.003,-0.034,0.026,-0.009,0.008,-0.008,0.008,0.027
avg_67,0.034,0.034,0.036,0.043,-0.037,0.003,0.018,-0.011,-0.018
avg_68,-0.023,-0.004,-0.045,0.02,-0.007,0.005,0.038,-0.009,-0.02
avg_69,0.011,-0.003,0.01,-0.006,-0.034,0.016,-0.08,0.049,-0.018
avg_70,0.011,-0.034,-0.012,-0.032,-0.033,0.006,0.034,-0.014,-0.028
avg_71,-0.041,0.019,-0.032,0.025,0.019,-0.017,0.005,0.003,-0.042
avg_72,-0.051,-0.005,0.037,-0.02,0.012,0.019,0.027,-0.01,-0.011
avg_73,0.054,-0.013,-0.006,-0.004,0.025,0.002,-0.011,-0.003,-0.003
avg_74,0.057,-0.011,0.003,-0.008,-0.008,-0.008,-0.044,-0.016,0.014
avg_75,-0.002,0.009,0.053,-0.037,-0.01,-0.014,0.024,-0.005,-0.019
avg_76,0.033,0.021,-0.026,0.039,-0.015,-0.048,-0.008,0.003,-0.006
avg_77,-0.024,-0.038,-0.012,-0.011,0.018,0.068,0.003,0.047,0.034
avg_78,0.015,-0.001,0.006,0.029,0.059,-0.022,-0.039,0.006,-0.005
avg_79,0.008,0.011,0.016,0.02,-0.001,0.042,-0.009,0.002,0.029
avg_80,-0.028,-0.032,-0.035,0.007,-0.035,0.038,-0.036,0.008,0.029
avg_81,-0.003,-0.026,-0.054,0.021,0.001,0.004,0.01,-0.051,0.001
avg_82,0.024,-0.02,-0.018,-0.051,-0.013,-0.015,0.048,-0.043,0.024
avg_83,-0.025,0.006,0.02,-0.019,0.027,-0.009,-0.034,0.013,0.018
avg_84,0.062,-0.004,0.005,0.011,0.003,-0.018,0.025,-0.018,0.002
avg_85,0.038,-0.01,-0.042,0.022,0.014,-0.007,0.023,-0.001,0.023
avg_86,0.001,-0.032,-0.032,-0.063,-0.016,-0.021,0.015,-0.005,-0.003
avg_87,-0.037,-0.012,-0.002,0.024,0.04,0.013,0.025,-0.036,-0.022
avg_88,0.021,-0.013,0.001,-0.038,-0.014,-0.055,-0.03,-0.005,-0.012
avg_89,-0.024,0.034,-0.011,0.022,-0.045,0.009,-0.031,-0.023,-0.052
avg_90,-0.023,0.004,-0.057,0.036,-0.002,0.013,0.006,-0.035,-0.024
avg_91,0.017,-0.018,-0.053,0.014,-0.021,0.009,0.014,0.017,-0.003
avg_92,-0.023,0.017,0.018,0.029,-0.02,0.057,0.004,-0.006,0.041
avg_93,0.033,-0.011,0.025,0.02,0.035,0.007,-0.042,-0.039,-0.019
avg_94,0.039,0.016,0.034,-0.021,-0.008,-0.041,-0.007,0.009,-0.009
avg_95,-0.034,-0.008,-0.004,-0.042,-0.004,-0.04,-0.013,-0.013,-0.022
avg_96,0.029,-0.019,-0.048,0.012,0.006,-0.016,0.033,0.005,0.021
