,Component_1 (11.504%),Component_2 (2.819%),Component_3 (4.789%),Component_4 (2.909%),Component_5 (2.246%),Component_6 (4.423%),Component_7 (2.170%),Component_8 (1.442%),Component_9 (2.366%)
max_113,-0.018,-0.057,-0.01,-0.01,0.022,-0.061,-0.014,-0.008,0.01
max_114,0.013,-0.024,-0.023,0.019,0.017,-0.006,0.039,0.003,-0.021
max_115,0.02,0.0,-0.024,-0.006,0.031,0.031,0.02,-0.008,0.049
max_116,0.0,0.004,0.022,-0.007,0.01,0.006,0.003,0.023,0.056
max_117,-0.006,0.048,-0.015,0.017,-0.006,-0.007,-0.006,-0.024,0.045
max_118,-0.043,0.03,-0.011,-0.012,-0.044,0.015,-0.009,-0.033,-0.014
max_119,-0.026,0.014,0.004,0.06,0.026,0.026,-0.018,-0.018,0.005
max_120,-0.001,0.009,0.02,0.007,-0.023,-0.01,-0.013,0.082,-0.051
max_121,-0.032,0.002,-0.001,0.04,0.014,0.03,0.026,-0.009,-0.016
max_122,-0.051,0.018,-0.01,0.021,-0.017,0.036,-0.013,-0.028,0.019
max_123,0.018,-0.01,-0.021,0.034,0.003,-0.034,-0.017,0.006,0.003
max_124,0.019,-0.002,0.016,0.012,0.024,-0.002,-0.02,-0.022,0.044
max_125,-0.007,-0.021,-0.017,-0.015,0.006,-0.008,-0.016,0.019,0.033
max_126,0.042,0.024,-0.025,-0.024,0.029,-0.001,0.022,0.001,-0.019
max_127,0.032,-0.006,0.037,-0.013,-0.011,-0.024,0.005,0.003,0.001
max_128,0.036,0.026,-0.013,0.041,-0.015,-0.035,0.006,0.011,0.041
max_129,-0.046,0.027,-0.025,-0.035,-0.007,0.011,0.002,0.002,0.029
max_130,0.016,0.002,-0.023,0.019,-0.005,-0.034,-0.014,0.048,0.027
max_131,0.012,0.002,-0.013,-0.024,-0.019,0.016,0.025,-0.013,0.036
max_132,0.037,-0.027,-0.026,-0.015,0.014,0.029,0.043,0.01,-0.013
max_133,-0.005,-0.008,-0.014,0.014,0.052,0.005,0.01,-0.01,-0.03
max_134,0.023,0.009,0.07,0.002,0.031,-0.025,-0.014,-0.018,-0.008
max_135,-0.035,0.044,-0.0,0.003,-0.027,-0.014,0.008,-0.002,0.036
max_136,0.024,-0.002,-0.005,-0.008,0.036,0.035,0.001,0.005,-0.004
max_137,0.03,-0.006,-0.026,0.025,0.011,-0.007,-0.016,0.007,0.05
max_138,-0.047,-0.03,-0.011,0.021,0.027,-0.006,-0.01,-0.032,0.011
max_139,-0.051,0.03,0.005,-0.018,0.006,-0.027,0.01,0.02,0.002
max_140,0.033,-0.027,0.051,0.02,-0.009,0.046,-0.02,-0.033,0.043
max_141,-0.036,0.002,0.004,0.025,0.006,-0.027,0.02,0.007,0.037
max_142,-0.014,-0.004,0.048,-0.012,-0.004,-0.038,-0.019,0.0,-0.004
max_143,-0.018,-0.004,-0.001,0.036,0.026,0.013,0.023,0.015,0.044
max_144,-0.032,-0.013,-0.006,0.002,-0.021,0.052,-0.023,0.028,-0.014
max_145,0.007,0.033,0.053,-0.018,0.03,-0.015,-0.016,-0.017,0.04
max_146,0.018,-0.006,0.01,-0.027,0.009,0.015,0.042,-0.026,-0.012
max_147,-0.008,-0.041,-0.035,-0.007,0.043,-0.015,-0.037,0.009,0.011
max_148,-0.012,0.02,0.033,-0.024,0.022,-0.018,-0.016,0.028,0.035
max_149,0.005,-0.039,-0.005,-0.0,-0.044,-0.063,-0.016,-0.027,-0.016
max_150,0.048,0.002,-0.037,0.019,-0.005,0.014,0.015,0.029,-0.005
max_151,0.048,0.031,-0.041,0.006,-0.012,-0.004,0.012,0.007,0.029
max_152,-0.001,-0.013,-0.01,0.048,0.027,-0.017,0.012,0.013,0.024
max_153,-0.005,0.001,-0.027,0.005,-0.025,-0.044,0.005,-0.009,-0.028
max_154,-0.009,-0.031,-0.028,0.007,-0.009,-0.037,-0.037,-0.035,0.016
max_155,0.036,0.017,-0.028,0.07,-0.031,-0.029,0.01,0.003,0.006
max_156,-0.003,0.007,0.053,-0.039,-0.01,-0.011,-0.029,-0.017,0.016
max_157,0.013,-0.006,-0.019,0.025,0.027,0.015,-0.009,0.001,0.007
max_158,0.005,-0.025,0.012,-0.058,-0.008,0.031,0.024,-0.008,0.016
max_159,0.034,-0.01,0.006,-0.011,-0.011,0.017,0.012,0.005,0.009
max_160,-0.013,0.007,-0.019,0.012,-0.025,0.002,0.015,0.039,0.034
max_161,-0.004,-0.015,-0.035,0.004,0.024,0.032,0.027,0.024,0.036
max_162,-0.02,0.034,-0.039,0.027,0.009,0.011,-0.006,-0.03,-0.042
max_163,-0.021,0.003,0.005,-0.016,0.045,-0.019,-0.014,0.009,-0.029
max_164,0.018,-0.023,-0.003,0.002,0.001,-0.008,-0.028,0.04,0.021
max_165,-0.04,-0.02,0.008,0.01,-0.042,-0.006,0.029,-0.041,-0.006
max_166,-0.045,0.009,-0.026,-0.019,0.071,0.012,0.042,-0.011,-0.01
max_167,0.011,-0.006,-0.035,0.01,-0.018,-0.019,-0.043,0.014,-0.036
max_168,-0.001,-0.033,-0.01,0.001,0.047,0.03,-0.053,0.038,-0.028
max_169,0.035,-0.024,0.026,0.023,-0.006,0.057,-0.014,-0.03,-0.022
max_170,-0.01,0.01,-0.039,-0.048,-0.054,0.022,-0.0,-0.016,0.013
max_171,0.017,-0.027,-0.031,0.013,-0.002,-0.019,-0.003,0.002,0.006
max_172,0.001,-0.014,-0.004,0.005,0.013,0.001,-0.001,0.065,-0.034
max_173,0.035,0.002,-0.014,0.043,0.004,-0.001,0.029,0.032,0.029
max_174,-0.047,0.031,-0.008,0.04,0.001,-0.025,0.035,-0.009,-0.009
max_175,-0.046,0.005,-0.019,-0.009,0.007,0.057,-0.017,-0.029,-0.009
max_176,-0.0,-0.004,-0.008,0.019,-0.002,-0.059,0.039,0.019,0.083
max_177,0.015,0.0,-0.018,0.032,0.036,-0.003,-0.036,0.015,0.013
max_178,0.013,-0.058,-0.015,0.007,0.008,-0.015,-0.031,0.006,-0.006
max_179,-0.001,-0.04,-0.022,0.008,0.059,0.007,-0.038,0.008,0.037
max_180,-0.005,-0.048,0.0,0.004,-0.017,-0.047,-0.023,0.013,0.021
max_181,0.004,-0.0,0.003,0.008,0.044,0.024,-0.048,-0.027,0.022
max_182,-0.011,0.021,-0.049,0.037,0.002,-0.034,0.003,-0.04,0.011
max_183,-0.048,-0.01,-0.011,0.033,0.048,-0.007,0.036,-0.002,0.013
max_184,0.026,-0.012,-0.002,-0.022,0.012,-0.027,0.02,0.012,0.013
max_185,0.011,0.006,-0.001,-0.042,0.018,0.03,0.015,-0.027,0.055
max_186,-0.051,0.015,0.004,0.012,-0.024,0.005,0.009,0.002,0.025
max_187,0.028,-0.013,0.049,-0.036,0.017,0.003,-0.014,-0.054,0.005
max_188,-0.047,-0.009,0.004,0.025,0.014,0.006,0.032,0.007,0.02
max_189,0.016,-0.023,-0.037,-0.011,0.047,0.024,0.017,-0.026,-0.041
max_190,0.014,-0.01,-0.012,0.028,0.024,-0.012,-0.02,0.018,0.046
max_191,-0.049,0.031,-0.031,0.012,0.036,0.026,0.007,-0.024,0.004
max_192,0.019,-0.032,0.035,-0.003,-0.0,0.003,-0.037,-0.076,-0.003
max_193,-0.008,0.082,0.003,0.005,-0.005,0.022,-0.023,0.025,-0.027
max_194,-0.027,-0.042,0.004,-0.016,0.023,-0.056,-0.016,-0.016,0.017
max_195,-0.033,-0.062,0.005,0.008,0.026,0.038,0.045,0.0,0.023
max_196,-0.007,-0.019,-0.011,-0.006,0.01,-0.034,0.01,0.032,0.012
max_197,-0.014,0.006,-0.007,0.067,-0.01,-0.001,0.001,-0.032,0.036
max_198,0.023,0.008,-0.012,0.057,0.005,-0.004,-0.021,0.024,0.021
max_199,0.028,0.013,-0.026,0.038,-0.009,0.001,-0.034,0.017,-0.015
min_0,0.027,0.008,-0.015,-0.01,-0.032,-0.028,0.005,-0.019,-0.038
min_1,-0.002,-0.021,-0.04,0.026,-0.023,0.009,0.013,-0.043,-0.013
min_2,0.025,-0.001,0.002,-0.008,-0.05,0.003,-0.058,0.031,-0.001
min_3,0.054,-0.0,0.013,0.019,0.005,-0.021,-0.001,-0.001,0.012
min_4,-0.017,0.003,0.013,0.032,-0.024,0.016,-0.018,-0.021,-0.018
min_5,-0.022,-0.011,-0.008,-0.005,-0.002,-0.059,0.028,-0.038,-0.003
min_6,0.024,-0.022,-0.021,-0.045,0.035,-0.044,0.009,-0.002,0.016
min_7,0.009,-0.02,0.02,-0.0,-0.058,-0.001,-0.028,0.044,0.042
min_8,-0.012,0.036,0.015,0.006,0.014,-0.001,0.006,-0.02,-0.006
min_9,-0.027,0.043,-0.061,-0.02,0.008,-0.01,0.0,0.01,-0.021
min_10,-0.021,0.003,-0.013,0.022,-0.059,0.012,-0.063,-0.0,0.026
min_11,-0.013,-0.023,-0.048,-0.001,-0.034,0.032,0.025,0.028,0.01
min_12,-0.037,-0.012,0.055,0.015,-0.025,-0.056,0.009,0.045,-0.02
min_13,-0.001,0.05,0.009,0.004,-0.031,0.006,0.051,-0.009,-0.02
min_14,-0.012,0.026,0.024,-0.013,0.016,0.041,0.04,-0.005,0.016
min_15,0.014,0.027,0.027,0.016,0.009,-0.012,0.023,-0.045,0.004
min_16,-0.024,0.036,0.009,-0.011,0.005,-0.042,-0.011,0.026,0.001
min_17,-0.007,-0.004,-0.008,-0.023,-0.015,0.01,0.026,-0.008,0.071
min_18,-0.043,-0.023,-0.004,-0.044,0.005,-0.049,0.009,-0.047,-0.028
min_19,-0.033,0.029,0.004,-0.022,0.044,0.026,0.009,0.019,0.017
min_20,-0.005,0.029,-0.007,-0.007,-0.024,-0.057,0.038,-0.032,0.004
min_21,0.036,0.05,-0.016,-0.002,-0.073,-0.008,-0.025,-0.034,0.0
min_22,0.037,0.045,0.018,0.017,0.019,-0.021,-0.014,-0.0,0.019
min_23,0.001,-0.085,0.007,-0.006,0.022,-0.016,0.015,0.023,-0.039
min_24,0.043,-0.022,0.049,0.027,-0.025,-0.045,-0.011,0.039,-0.021
min_25,0.003,0.045,-0.001,0.004,-0.012,0.028,0.02,0.004,-0.052
min_26,-0.001,0.011,0.001,0.008,0.037,0.027,-0.01,-0.011,-0.028
min_27,0.017,0.004,-0.019,-0.068,0.047,-0.019,0.008,-0.042,0.046
min_28,0.045,-0.01,0.007,-0.051,-0.009,0.004,-0.018,0.011,0.024
min_29,-0.045,0.006,0.013,0.023,-0.005,-0.021,-0.05,0.004,0.008
min_30,0.021,-0.024,-0.013,-0.028,-0.024,0.001,0.001,-0.01,0.024
min_31,0.039,0.004,0.02,-0.022,-0.043,-0.01,0.006,0.045,0.027
min_32,-0.0,-0.016,-0.054,0.009,-0.018,0.038,-0.015,0.019,0.022
min_33,-0.01,0.001,0.027,-0.024,-0.023,-0.056,0.029,-0.006,-0.005
min_34,-0.007,-0.012,-0.048,0.006,-0.015,0.054,0.01,0.013,0.034
min_35,-0.035,0.014,0.03,-0.019,-0.022,-0.018,-0.035,0.012,0.001
min_36,-0.024,-0.007,-0.013,-0.006,0.029,0.007,-0.001,-0.011,-0.01
min_37,-0.008,-0.007,-0.016,-0.019,-0.049,0.001,-0.031,-0.022,-0.006
min_38,0.048,-0.044,0.018,-0.008,0.007,0.031,-0.014,0.032,-0.014
min_39,-0.036,0.018,-0.004,0.049,0.015,-0.019,-0.021,0.044,0.006
min_40,-0.022,-0.013,-0.072,-0.002,-0.012,0.004,0.035,0.01,-0.004
min_41,-0.005,0.029,0.018,0.01,0.004,0.051,0.024,-0.027,0.003
min_42,-0.045,0.035,0.0,-0.003,0.008,-0.011,-0.045,0.026,0.025
min_43,-0.04,0.018,-0.008,0.045,-0.01,-0.025,-0.025,0.041,0.011
min_44,0.007,0.03,0.003,0.004,0.019,-0.035,0.01,-0.022,0.019
min_45,0.016,0.019,-0.004,-0.021,-0.026,-0.017,0.032,-0.026,0.023
min_46,-0.054,0.027,-0.014,-0.015,-0.017,-0.022,-0.011,0.034,-0.001
min_47,0.036,0.005,0.011,0.047,0.057,-0.008,0.02,-0.005,0.002
min_48,-0.047,0.036,-0.014,-0.005,0.009,0.013,-0.053,-0.008,0.045
min_49,0.0,0.012,-0.024,-0.007,0.005,0.044,0.032,-0.008,-0.016
min_50,-0.043,0.017,-0.072,-0.028,0.001,0.024,-0.01,0.015,0.002
min_51,0.011,0.035,0.022,-0.006,-0.028,0.014,0.043,-0.008,0.025
min_52,-0.023,-0.004,0.032,-0.037,0.011,0.02,0.037,-0.018,-0.007
min_53,0.015,0.022,0.025,0.035,-0.031,0.023,0.01,-0.053,0.003
min_54,0.025,-0.016,-0.032,-0.027,-0.058,0.014,-0.003,0.02,0.013
min_55,0.003,0.004,0.043,-0.012,-0.032,0.003,0.038,-0.001,0.024
min_56,-0.012,-0.029,-0.005,-0.049,-0.014,-0.02,0.007,0.067,0.031
min_57,-0.018,0.001,0.052,0.004,-0.009,0.041,0.023,-0.007,0.004
min_58,-0.024,0.014,0.02,0.053,0.023,0.0,-0.026,-0.038,0.023
min_59,0.004,0.009,-0.002,-0.006,-0.012,0.0,0.033,0.022,-0.041
min_60,0.032,0.019,0.018,-0.038,-0.012,0.008,0.003,0.018,0.022
min_61,0.011,0.013,0.028,-0.003,-0.051,0.002,0.027,0.04,-0.04
min_62,-0.033,0.05,-0.047,-0.035,0.009,-0.004,-0.004,-0.003,0.025
min_63,-0.032,-0.008,0.027,0.002,0.008,-0.02,-0.009,0.013,0.011
min_64,-0.003,0.014,0.031,-0.011,-0.006,0.0,0.011,-0.049,0.011
min_65,0.043,-0.033,-0.002,-0.012,0.031,0.031,-0.005,0.033,0.027
min_66,0.034,-0.035,-0.031,0.007,-0.003,0.023,0.001,-0.006,0.016
min_67,0.024,0.051,-0.008,0.007,-0.031,-0.018,0.051,-0.005,0.003
min_68,-0.004,0.014,-0.049,0.014,-0.025,0.023,0.022,-0.012,-0.012
min_69,0.009,0.01,0.025,-0.005,-0.052,-0.012,-0.06,0.031,0.014
min_70,-0.011,-0.031,-0.011,-0.03,-0.024,0.023,-0.019,-0.05,-0.002
min_71,-0.014,0.041,-0.038,-0.008,-0.008,-0.015,-0.022,0.012,-0.069
min_72,-0.032,-0.012,0.047,-0.02,0.014,0.034,0.025,-0.011,-0.007
min_73,0.047,-0.037,0.013,-0.01,0.0,-0.009,-0.016,-0.0,0.008
min_74,0.065,-0.002,0.013,-0.004,-0.018,0.005,-0.043,-0.015,0.0
min_75,-0.004,0.037,0.012,-0.052,-0.01,-0.001,0.04,0.013,-0.014
min_76,0.047,0.035,-0.006,0.049,-0.024,-0.033,-0.013,-0.017,-0.011
min_77,-0.015,-0.025,-0.014,-0.005,-0.016,0.053,0.009,0.035,0.028
min_78,0.029,0.035,0.004,0.027,0.066,-0.035,-0.008,0.021,-0.026
min_79,-0.017,-0.027,0.052,-0.002,0.027,0.053,0.004,0.01,-0.01
min_80,-0.041,-0.046,-0.031,0.027,-0.062,0.016,-0.007,0.004,0.049
min_81,-0.001,-0.049,-0.037,0.028,-0.02,-0.004,0.018,-0.038,0.004
min_82,-0.002,-0.005,-0.012,-0.043,-0.004,-0.04,0.025,-0.062,0.034
min_83,-0.032,-0.005,0.023,-0.008,0.019,0.004,-0.047,0.021,-0.007
min_84,0.045,-0.011,0.017,0.002,0.018,-0.007,-0.007,-0.039,0.012
min_85,0.025,-0.014,-0.036,0.011,0.024,-0.008,0.03,-0.011,0.03
min_86,-0.027,-0.053,-0.013,-0.064,-0.008,-0.03,0.003,-0.008,-0.013
min_87,-0.018,0.001,0.011,0.012,0.01,0.012,0.011,-0.049,-0.021
min_88,0.03,-0.01,0.023,-0.034,-0.01,-0.029,-0.034,-0.021,0.009
min_89,-0.021,0.017,0.003,-0.014,-0.008,0.018,-0.047,-0.058,-0.018
min_90,-0.005,0.001,-0.067,0.014,-0.0,0.025,0.002,-0.022,-0.027
min_91,-0.005,-0.059,-0.028,0.013,-0.04,0.023,0.022,-0.001,0.007
min_92,-0.015,0.023,0.016,0.008,-0.008,0.05,0.017,0.02,0.044
min_93,0.044,0.022,0.008,-0.016,0.019,-0.023,-0.009,-0.008,-0.029
min_94,0.043,-0.016,0.029,-0.001,-0.031,-0.024,-0.019,-0.001,-0.009
min_95,-0.029,-0.024,-0.007,-0.047,0.002,-0.023,-0.019,-0.011,-0.033
min_96,0.023,-0.01,-0.046,0.016,0.004,-0.038,0.032,-0.002,0.03
min_97,-0.055,-0.062,-0.012,-0.006,-0.06,-0.015,0.005,0.016,-0.011
min_98,0.006,-0.046,-0.016,-0.006,-0.008,0.009,0.022,0.007,-0.015
min_99,0.003,0.016,0.028,0.018,0.018,0.043,0.029,-0.023,0.011
min_100,0.002,0.012,0.024,-0.014,-0.011,0.001,0.041,-0.02,0.009
min_101,0.01,0.027,-0.021,-0.011,0.069,-0.028,-0.005,0.021,-0.026
min_102,0.009,0.006,0.023,0.021,0.044,-0.011,0.044,0.04,0.004
min_103,-0.048,-0.003,0.021,-0.006,0.009,-0.036,-0.012,0.069,0.016
min_104,0.055,0.023,0.007,-0.014,0.012,0.006,-0.065,0.004,-0.008
min_105,-0.032,-0.001,0.031,-0.026,-0.004,0.015,-0.002,-0.012,0.024
min_106,-0.001,0.008,0.05,-0.02,-0.023,0.014,-0.014,0.019,0.036
min_107,0.019,-0.006,-0.002,-0.033,0.06,-0.047,0.01,-0.029,0.01
min_108,-0.012,0.048,0.031,0.011,-0.036,-0.03,-0.046,-0.026,0.011
min_109,0.005,-0.029,0.042,-0.03,0.022,-0.014,-0.031,0.034,0.01
min_110,-0.033,-0.021,0.002,-0.021,-0.016,-0.005,-0.035,-0.01,-0.062
min_111,0.027,-0.056,0.016,0.006,0.016,0.009,0.029,0.019,0.03
min_112,-0.034,0.003,-0.027,0.032,-0.006,0.018,-0.011,0.039,0.042
min_113,0.008,0.011,0.011,-0.022,0.081,-0.035,0.007,-0.002,0.003
min_114,0.037,-0.002,-0.001,0.037,0.041,-0.009,0.023,0.018,-0.009
min_115,0.005,-0.03,-0.015,0.031,-0.012,0.016,0.031,-0.019,0.007
min_116,-0.022,-0.005,-0.014,-0.029,-0.029,0.02,-0.037,0.045,0.074
min_117,-0.036,0.019,0.034,0.005,-0.002,-0.016,-0.011,0.004,0.002
min_118,-0.04,-0.005,-0.0,0.011,-0.015,-0.002,-0.006,-0.036,-0.036
min_119,-0.027,0.045,0.013,0.036,0.024,-0.005,-0.009,0.033,-0.034
min_120,-0.028,0.027,0.016,0.014,-0.021,-0.049,-0.024,-0.001,0.009
min_121,-0.029,-0.013,-0.013,-0.001,0.019,0.05,-0.011,-0.012,-0.057
min_122,-0.02,0.02,0.034,0.018,0.011,0.055,0.009,0.019,0.016
min_123,-0.007,0.026,-0.066,-0.013,-0.005,0.025,-0.018,-0.069,-0.012
min_124,0.017,-0.005,0.016,-0.026,0.008,-0.025,0.009,0.019,0.024
min_125,-0.016,-0.022,-0.042,-0.003,-0.041,0.019,0.013,0.052,0.037
min_126,0.001,-0.047,0.012,-0.024,0.009,-0.036,0.001,-0.006,-0.021
min_127,0.041,0.006,0.009,-0.038,-0.037,-0.007,-0.032,-0.006,-0.008
min_128,0.055,0.009,0.026,0.018,-0.008,-0.027,-0.016,0.032,-0.001
min_129,-0.06,-0.027,0.052,0.021,0.015,0.017,-0.033,0.003,0.034
min_130,-0.021,0.004,0.004,-0.036,-0.021,0.006,-0.048,0.036,0.054
min_131,0.015,0.016,0.011,-0.015,-0.047,0.013,-0.0,-0.032,0.006
min_132,0.014,0.015,-0.014,-0.015,0.022,-0.016,0.03,-0.034,0.031
min_133,-0.011,-0.016,-0.001,0.021,0.019,0.004,-0.001,-0.007,-0.052
min_134,-0.007,0.022,0.026,-0.027,0.007,0.03,0.034,0.003,-0.013
min_135,-0.008,0.028,0.046,0.02,-0.008,0.022,0.024,0.01,0.021
min_136,0.043,-0.046,0.006,0.004,0.015,0.04,-0.013,0.007,-0.006
min_137,0.043,-0.027,-0.021,0.001,0.022,0.036,-0.005,0.04,0.008
min_138,-0.046,0.041,-0.015,0.002,0.003,-0.029,-0.023,0.04,-0.008
min_139,-0.031,0.019,0.028,-0.016,0.013,-0.003,0.032,0.018,-0.017
min_140,0.017,0.023,0.026,-0.028,-0.021,0.016,0.024,0.008,0.021
min_141,-0.032,0.041,-0.009,-0.037,0.022,-0.028,0.003,-0.007,-0.01
min_142,-0.002,0.004,0.003,-0.045,0.01,-0.024,-0.011,0.02,-0.029
min_143,-0.02,0.012,0.006,-0.006,0.023,0.042,0.031,0.066,0.01
min_144,-0.037,-0.022,-0.03,0.006,-0.039,0.026,0.01,0.022,-0.011
min_145,0.006,0.019,0.048,-0.002,-0.027,-0.03,0.029,0.008,0.04
min_146,0.001,0.022,0.016,-0.0,-0.014,0.001,0.024,0.005,-0.055
min_147,-0.021,-0.022,-0.02,0.013,0.01,-0.011,0.005,0.065,0.045
min_148,-0.02,0.022,0.018,-0.001,0.003,-0.001,-0.028,0.019,0.013
min_149,0.011,-0.03,0.001,-0.078,0.01,-0.008,-0.035,-0.013,-0.022
min_150,0.05,-0.015,-0.004,0.033,-0.014,0.023,-0.002,0.015,-0.003
min_151,0.031,-0.042,-0.014,0.019,-0.04,0.011,0.021,0.017,-0.021
min_152,0.019,-0.015,-0.029,-0.0,0.044,-0.028,0.016,0.043,-0.008
min_153,-0.026,-0.018,-0.038,-0.007,-0.031,-0.01,0.004,-0.018,0.037
min_154,-0.01,0.05,-0.036,0.005,0.004,-0.03,-0.015,0.054,-0.023
min_155,0.053,-0.003,0.005,0.032,0.032,0.017,-0.005,-0.01,-0.009
min_156,-0.015,0.02,0.029,-0.019,-0.037,0.001,0.049,-0.003,-0.014
min_157,0.039,-0.058,0.018,-0.016,0.039,-0.002,0.01,0.025,0.001
min_158,0.02,-0.022,-0.011,-0.039,-0.009,0.017,0.016,0.003,0.037
min_159,0.022,0.009,0.036,-0.004,-0.033,0.007,0.037,0.049,0.008
min_160,-0.015,0.022,-0.032,-0.001,-0.025,0.027,0.014,0.04,0.044
min_161,-0.002,0.017,0.028,0.029,-0.008,0.046,0.028,-0.013,0.028
min_162,-0.033,-0.015,-0.007,0.014,-0.034,0.011,-0.003,-0.002,-0.003
min_163,-0.04,-0.032,0.028,-0.018,0.031,-0.002,0.012,0.013,-0.041
min_164,0.052,-0.005,0.015,0.006,0.023,0.012,-0.045,0.003,0.015
min_165,-0.018,0.028,0.021,-0.014,0.001,0.03,0.032,0.01,-0.038
min_166,-0.04,-0.024,0.024,-0.032,-0.004,-0.013,0.046,-0.048,0.008
min_167,-0.005,0.04,0.017,0.015,-0.05,-0.01,-0.067,-0.023,0.009
min_168,-0.027,-0.052,0.015,-0.03,0.022,0.009,-0.018,0.082,0.018
min_169,0.022,0.017,0.018,-0.0,-0.017,0.017,0.011,0.027,-0.074
min_170,-0.008,0.026,0.017,-0.016,-0.012,-0.013,0.051,-0.026,0.034
min_171,0.025,-0.001,-0.043,-0.003,-0.023,-0.029,0.011,-0.032,0.025
min_172,0.037,0.013,0.019,-0.014,-0.037,0.01,-0.031,0.014,-0.018
min_173,0.044,-0.008,-0.004,0.035,0.021,0.033,0.003,0.001,0.025
min_174,-0.045,0.01,0.026,0.01,0.028,0.012,-0.019,-0.012,0.023
min_175,-0.021,-0.041,-0.032,0.013,-0.026,0.041,-0.008,-0.011,-0.001
min_176,-0.001,0.013,-0.038,-0.022,0.034,-0.008,-0.006,0.045,0.028
min_177,0.018,0.018,0.012,0.001,0.05,-0.061,0.014,-0.037,-0.008
min_178,0.063,0.003,-0.001,-0.022,0.007,0.013,-0.028,-0.02,0.006
min_179,-0.018,0.005,0.013,0.035,0.051,-0.025,-0.022,0.054,-0.017
min_180,0.018,0.02,0.007,-0.043,-0.003,-0.017,-0.047,0.044,0.024
min_181,-0.04,-0.001,0.05,0.03,-0.001,-0.031,-0.038,0.006,-0.005
min_182,0.001,0.0,-0.021,0.003,0.056,-0.063,0.045,-0.02,0.04
min_183,-0.018,-0.005,-0.007,0.012,0.022,0.001,0.001,-0.022,-0.014
min_184,0.05,-0.003,0.015,-0.033,-0.027,-0.006,-0.021,0.012,0.001
min_185,0.007,-0.024,0.007,0.011,-0.048,-0.0,0.02,-0.041,0.035
min_186,-0.053,0.015,0.016,-0.01,-0.009,-0.002,-0.007,0.017,0.025
min_187,-0.006,0.023,0.026,-0.03,-0.031,-0.018,0.055,-0.006,0.012
min_188,0.002,0.05,-0.022,-0.014,-0.015,-0.005,0.039,-0.006,0.006
min_189,-0.024,-0.032,-0.018,-0.031,0.04,-0.026,0.038,-0.022,-0.021
min_190,-0.014,0.001,-0.054,0.018,0.01,0.02,0.002,0.053,0.018
min_191,-0.033,-0.018,0.049,0.036,-0.016,0.011,0.039,0.009,0.017
min_192,0.032,-0.011,0.012,-0.041,-0.025,-0.011,-0.019,-0.009,-0.026
min_193,-0.055,-0.032,0.053,-0.008,0.002,0.005,-0.037,-0.033,0.006
min_194,-0.012,0.039,0.014,-0.015,0.015,-0.049,-0.027,0.011,0.0
min_195,0.006,0.024,-0.005,0.004,0.029,0.079,0.014,-0.002,-0.0
min_196,-0.021,-0.036,-0.059,-0.065,0.013,0.002,0.017,0.021,0.023
min_197,-0.009,0.057,-0.054,-0.014,0.006,0.008,-0.006,0.051,0.032
min_198,0.025,0.069,-0.016,0.03,0.032,-0.011,-0.033,0.021,0.032
min_199,0.027,-0.023,-0.009,0.064,-0.011,-0.006,0.011,0.023,-0.063
mode_0,0.027,0.008,-0.015,-0.01,-0.032,-0.028,0.005,-0.019,-0.038
mode_1,-0.002,-0.021,-0.04,0.026,-0.023,0.009,0.013,-0.043,-0.013
mode_2,0.025,-0.001,0.002,-0.008,-0.05,0.003,-0.058,0.031,-0.001
mode_3,0.054,-0.0,0.013,0.019,0.005,-0.021,-0.001,-0.001,0.012
mode_4,-0.017,0.003,0.013,0.032,-0.024,0.016,-0.018,-0.021,-0.018
mode_5,-0.022,-0.011,-0.008,-0.005,-0.002,-0.059,0.028,-0.038,-0.003
mode_6,0.024,-0.022,-0.021,-0.045,0.035,-0.044,0.009,-0.002,0.016
mode_7,0.009,-0.02,0.02,-0.0,-0.058,-0.001,-0.028,0.044,0.042
mode_8,-0.012,0.036,0.015,0.006,0.014,-0.001,0.006,-0.02,-0.006
mode_9,-0.027,0.043,-0.061,-0.02,0.008,-0.01,0.0,0.01,-0.021
mode_10,-0.021,0.003,-0.013,0.022,-0.059,0.012,-0.063,-0.0,0.026
mode_11,-0.013,-0.023,-0.048,-0.001,-0.034,0.032,0.025,0.028,0.01
mode_12,-0.037,-0.012,0.055,0.015,-0.025,-0.056,0.009,0.045,-0.02
mode_13,-0.001,0.05,0.009,0.004,-0.031,0.006,0.051,-0.009,-0.02
mode_14,-0.012,0.026,0.024,-0.013,0.016,0.041,0.04,-0.005,0.016
mode_15,0.014,0.027,0.027,0.016,0.009,-0.012,0.023,-0.045,0.004
mode_16,-0.024,0.036,0.009,-0.011,0.005,-0.042,-0.011,0.026,0.001
mode_17,-0.007,-0.004,-0.008,-0.023,-0.015,0.01,0.026,-0.008,0.071
mode_18,-0.043,-0.023,-0.004,-0.044,0.005,-0.049,0.009,-0.047,-0.028
mode_19,-0.033,0.029,0.004,-0.022,0.044,0.026,0.009,0.019,0.017
mode_20,-0.005,0.029,-0.007,-0.007,-0.024,-0.057,0.038,-0.032,0.004
mode_21,0.036,0.05,-0.016,-0.002,-0.073,-0.008,-0.025,-0.034,0.0
mode_22,0.037,0.045,0.018,0.017,0.019,-0.021,-0.014,-0.0,0.019
mode_23,0.001,-0.085,0.007,-0.006,0.022,-0.016,0.015,0.023,-0.039
mode_24,0.043,-0.022,0.049,0.027,-0.025,-0.045,-0.011,0.039,-0.021
