,Component_1 (16.003%),Component_2 (8.875%),Component_3 (6.903%),Component_4 (3.115%),Component_5 (7.375%),Component_6 (3.705%),Component_7 (2.497%),Component_8 (2.090%),Component_9 (0.824%),Component_10 (2.512%)
max_NdUnfilled,-0.037,-0.03,0.043,-0.028,-0.027,-0.128,0.108,0.093,-0.021,0.008
max_NfUnfilled,0.066,-0.088,0.017,0.099,-0.028,-0.042,0.127,-0.025,0.056,0.138
max_NUnfilled,0.052,-0.068,0.029,0.059,-0.012,-0.088,0.197,0.024,0.031,0.101
max_GSvolume_pa,0.178,0.134,0.196,-0.064,-0.004,-0.089,-0.109,0.102,0.121,-0.061
max_GSbandgap,-0.019,0.096,-0.047,-0.006,-0.135,-0.005,-0.022,-0.073,0.083,0.032
max_GSmagmom,-0.106,0.07,-0.032,-0.132,-0.073,0.015,0.058,0.007,0.043,-0.027
max_SpaceGroupNumber,-0.131,0.051,0.057,-0.034,-0.115,0.028,-0.037,0.004,0.033,0.047
min_Number,0.041,-0.078,0.1,-0.132,0.082,-0.003,-0.018,-0.047,0.034,-0.001
min_MendeleevNumber,-0.032,0.064,-0.1,0.027,0.119,0.054,-0.033,-0.014,0.092,-0.028
min_AtomicWeight,0.042,-0.077,0.101,-0.14,0.075,0.002,-0.016,-0.053,0.039,-0.004
min_MeltingT,-0.141,0.043,0.044,0.034,-0.049,-0.087,-0.037,-0.133,0.046,-0.021
min_Column,-0.011,0.102,-0.078,-0.002,0.135,-0.001,0.011,0.016,0.042,0.064
min_Row,0.019,-0.098,0.089,-0.095,0.112,-0.037,-0.039,0.0,0.047,-0.032
min_CovalentRadius,-0.013,-0.201,-0.017,0.059,0.194,-0.134,-0.105,0.072,0.161,-0.092
min_Electronegativity,-0.072,0.056,-0.098,-0.044,0.074,0.042,-0.004,0.025,0.019,0.092
min_NsValence,0.096,0.001,-0.096,0.081,-0.032,-0.085,-0.082,-0.007,-0.04,-0.054
min_NpValence,0.126,0.195,0.052,0.012,0.144,-0.024,0.101,-0.121,-0.024,-0.058
min_NdValence,0.023,0.075,-0.025,0.031,0.177,0.029,0.063,0.034,-0.003,0.091
min_NfValence,-0.056,-0.071,0.022,0.026,0.073,-0.07,-0.109,-0.06,-0.151,-0.025
min_NValence,0.04,-0.033,-0.007,0.012,0.084,0.168,0.017,-0.121,-0.032,-0.142
min_NsUnfilled,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
min_NpUnfilled,0.131,0.208,0.062,-0.006,0.133,-0.006,0.125,-0.147,-0.087,-0.005
min_NdUnfilled,-0.07,0.063,0.116,-0.047,-0.022,0.049,0.243,-0.069,0.023,-0.121
min_NfUnfilled,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
min_NUnfilled,0.07,0.056,-0.018,-0.073,-0.112,-0.008,0.014,0.131,0.163,0.027
min_GSvolume_pa,0.122,-0.152,-0.06,0.009,0.006,-0.026,-0.01,-0.138,0.067,-0.0
min_GSbandgap,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
min_GSmagmom,-0.048,-0.059,-0.044,-0.024,-0.044,0.125,0.227,-0.053,0.351,-0.12
min_SpaceGroupNumber,-0.115,0.04,0.029,-0.005,-0.023,-0.149,-0.102,-0.152,0.089,0.07
mode_Number,0.041,-0.078,0.1,-0.132,0.082,-0.003,-0.018,-0.047,0.034,-0.001
mode_MendeleevNumber,-0.032,0.064,-0.1,0.027,0.119,0.054,-0.033,-0.014,0.092,-0.028
mode_AtomicWeight,0.042,-0.077,0.101,-0.14,0.075,0.002,-0.016,-0.053,0.039,-0.004
mode_MeltingT,-0.141,0.043,0.044,0.034,-0.049,-0.087,-0.037,-0.133,0.046,-0.021
mode_Column,-0.011,0.102,-0.078,-0.002,0.135,-0.001,0.011,0.016,0.042,0.064
mode_Row,0.019,-0.098,0.089,-0.095,0.112,-0.037,-0.039,0.0,0.047,-0.032
mode_CovalentRadius,-0.013,-0.201,-0.017,0.059,0.194,-0.134,-0.105,0.072,0.161,-0.092
mode_Electronegativity,-0.072,0.056,-0.098,-0.044,0.074,0.042,-0.004,0.025,0.019,0.092
mode_NsValence,0.096,0.001,-0.096,0.081,-0.032,-0.085,-0.082,-0.007,-0.04,-0.054
mode_NpValence,0.126,0.195,0.052,0.012,0.144,-0.024,0.101,-0.121,-0.024,-0.058
mode_NdValence,0.023,0.075,-0.025,0.031,0.177,0.029,0.063,0.034,-0.003,0.091
mode_NfValence,-0.056,-0.071,0.022,0.026,0.073,-0.07,-0.109,-0.06,-0.151,-0.025
mode_NValence,0.04,-0.033,-0.007,0.012,0.084,0.168,0.017,-0.121,-0.032,-0.142
mode_NsUnfilled,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
mode_NpUnfilled,0.131,0.208,0.062,-0.006,0.133,-0.006,0.125,-0.147,-0.087,-0.005
mode_NdUnfilled,-0.07,0.063,0.116,-0.047,-0.022,0.049,0.243,-0.069,0.023,-0.121
mode_NfUnfilled,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
mode_NUnfilled,0.07,0.056,-0.018,-0.073,-0.112,-0.008,0.014,0.131,0.163,0.027
mode_GSvolume_pa,0.122,-0.152,-0.06,0.009,0.006,-0.026,-0.01,-0.138,0.067,-0.0
mode_GSbandgap,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
mode_GSmagmom,-0.048,-0.059,-0.044,-0.024,-0.044,0.125,0.227,-0.053,0.351,-0.12
mode_SpaceGroupNumber,-0.115,0.04,0.029,-0.005,-0.023,-0.149,-0.102,-0.152,0.089,0.07
