,Component_1 (24.982%),Component_2 (7.833%),Component_3 (3.916%),Component_4 (6.497%),Component_5 (2.502%),Component_6 (2.771%),Component_7 (1.387%),Component_8 (2.172%),Component_9 (1.739%),Component_10 (1.422%)
sum_bp_subs_hfus,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_bp_subs_mol_vol,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_bp_subs_mp,-0.004,-0.022,0.04,-0.013,0.03,0.024,-0.012,0.015,0.004,-0.024
sum_bp_subs_polzbl,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_bp_subs_therm_cond,0.021,-0.01,0.03,-0.021,0.007,0.004,-0.002,0.007,0.008,-0.022
sum_bp_subs_voro_coord,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_coulmn,-0.013,-0.008,-0.013,0.007,0.016,-0.008,0.014,-0.009,0.01,-0.007
sum_e1,0.01,0.018,0.025,0.027,-0.01,0.019,-0.017,-0.014,-0.015,-0.003
sum_e2,0.004,0.014,0.025,0.03,-0.007,0.022,-0.017,0.0,-0.011,0.001
sum_e3,0.016,0.016,0.023,0.021,-0.016,0.012,-0.024,-0.026,-0.022,-0.002
sum_elec_aff,0.013,-0.012,0.012,-0.015,0.036,-0.016,0.007,-0.04,-0.02,0.018
sum_elec_aff_add_X,0.017,-0.016,0.017,0.005,0.042,-0.008,0.006,-0.033,-0.014,-0.01
sum_elec_aff_add_atom_mass,-0.008,0.017,0.034,-0.011,0.018,-0.015,0.005,-0.009,0.015,0.001
sum_elec_aff_add_atom_rad,0.007,0.005,0.017,-0.024,0.03,-0.009,0.007,-0.047,-0.011,-0.002
sum_elec_aff_add_bp,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_elec_aff_add_mol_vol,-0.027,0.007,0.003,-0.016,-0.009,-0.01,0.014,-0.011,0.017,-0.002
sum_elec_aff_add_mp,0.033,0.005,0.002,-0.016,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_elec_aff_add_therm_cond,0.029,-0.01,-0.017,-0.002,-0.004,-0.007,-0.011,0.0,0.004,0.005
sum_elec_aff_add_voro_coord,0.026,0.03,0.017,0.004,-0.018,0.028,0.015,-0.021,-0.023,0.013
sum_elec_aff_mult_X,0.015,-0.013,0.019,-0.007,0.039,-0.018,0.004,-0.036,-0.017,0.014
sum_elec_aff_mult_atom_mass,0.006,0.01,0.029,-0.007,0.037,-0.024,-0.011,-0.035,-0.007,0.018
sum_elec_aff_mult_atom_rad,0.01,-0.0,0.014,-0.017,0.037,-0.017,0.003,-0.045,-0.022,0.017
sum_elec_aff_mult_bp,0.021,-0.008,0.016,-0.02,0.034,-0.014,-0.009,-0.029,-0.017,0.016
sum_elec_aff_mult_mol_vol,-0.013,-0.011,0.004,-0.015,0.021,-0.029,0.019,-0.044,-0.009,0.011
sum_elec_aff_mult_mp,0.026,-0.003,0.011,-0.018,0.021,-0.021,-0.008,-0.025,-0.012,0.021
sum_elec_aff_mult_therm_cond,0.027,-0.013,-0.011,-0.015,0.008,-0.014,-0.006,-0.01,-0.008,0.013
sum_elec_aff_mult_voro_coord,0.024,0.014,0.02,-0.01,0.027,0.0,-0.004,-0.033,-0.026,0.026
sum_elec_aff_subs_X,-0.001,0.003,-0.004,-0.034,0.003,-0.017,0.004,-0.023,-0.016,0.046
sum_elec_aff_subs_atom_mass,0.008,-0.018,-0.034,0.011,-0.018,0.015,-0.005,0.009,-0.015,-0.001
sum_elec_aff_subs_atom_rad,0.015,-0.023,0.005,-0.004,0.032,-0.018,0.005,-0.024,-0.023,0.029
sum_elec_aff_subs_bp,-0.022,0.011,-0.028,0.02,-0.006,-0.003,0.003,-0.007,-0.008,0.021
sum_elec_aff_subs_first_ion_en,-0.014,0.011,-0.008,-0.027,-0.002,0.008,-0.031,0.017,-0.025,0.035
sum_elec_aff_subs_hfus,0.01,-0.001,0.016,-0.014,0.045,-0.01,-0.002,-0.044,-0.024,0.019
sum_elec_aff_subs_mol_vol,0.029,-0.008,-0.001,0.013,0.014,0.007,-0.013,0.005,-0.02,0.004
sum_elec_aff_subs_mp,-0.033,-0.005,-0.002,0.015,0.019,0.017,-0.007,0.003,-0.008,0.007
sum_elec_aff_subs_polzbl,0.013,-0.015,-0.011,0.027,0.027,-0.008,0.0,-0.001,-0.006,0.009
sum_elec_aff_subs_therm_cond,-0.029,0.01,0.017,0.002,0.004,0.007,0.011,-0.001,-0.005,-0.005
sum_elec_aff_subs_voro_coord,-0.023,-0.033,-0.015,-0.008,0.027,-0.033,-0.014,0.012,0.019,-0.009
sum_first_ion_en,0.017,-0.014,0.011,0.017,0.014,-0.013,0.029,-0.029,0.014,-0.023
sum_first_ion_en_add_X,0.017,-0.015,0.013,0.02,0.021,-0.009,0.024,-0.026,0.01,-0.027
sum_first_ion_en_add_atom_mass,-0.008,0.017,0.034,-0.011,0.018,-0.015,0.006,-0.009,0.015,0.0
sum_first_ion_en_add_atom_rad,0.015,-0.008,0.013,0.014,0.013,-0.011,0.03,-0.033,0.017,-0.031
sum_first_ion_en_add_bp,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_first_ion_en_add_elec_aff,0.017,-0.014,0.012,0.009,0.022,-0.015,0.025,-0.035,0.005,-0.013
sum_first_ion_en_add_mol_vol,-0.026,0.005,0.005,-0.011,-0.009,-0.012,0.021,-0.015,0.023,-0.008
sum_first_ion_en_add_mp,0.033,0.005,0.003,-0.015,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_first_ion_en_add_therm_cond,0.029,-0.01,-0.017,-0.002,-0.004,-0.007,-0.01,-0.0,0.005,0.005
sum_first_ion_en_add_voro_coord,0.028,0.026,0.019,0.011,-0.017,0.025,0.022,-0.024,-0.015,0.004
sum_first_ion_en_divi_atom_mass,0.013,-0.028,-0.024,-0.001,-0.015,0.005,0.005,-0.005,-0.008,-0.013
sum_first_ion_en_divi_atom_rad,0.018,-0.028,0.0,0.013,0.012,-0.007,0.022,-0.016,0.005,-0.01
sum_first_ion_en_divi_bp,-0.014,0.007,-0.01,0.028,-0.003,-0.014,0.028,-0.019,0.019,0.006
sum_first_ion_en_divi_hfus,-0.016,0.018,-0.001,0.009,0.021,0.024,-0.045,-0.006,0.003,-0.008
sum_first_ion_en_divi_mol_vol,0.033,-0.001,0.001,0.013,0.01,0.011,-0.003,-0.009,-0.009,-0.008
sum_first_ion_en_divi_mp,-0.024,-0.005,0.009,0.027,0.022,0.016,-0.011,0.019,0.009,-0.005
sum_first_ion_en_divi_polzbl,0.011,-0.028,0.003,0.019,0.03,0.003,0.032,-0.017,-0.006,-0.004
sum_first_ion_en_divi_therm_cond,-0.024,0.014,0.001,-0.015,-0.01,-0.014,-0.009,-0.018,-0.003,-0.02
sum_first_ion_en_divi_voro_coord,-0.011,-0.01,-0.022,-0.029,0.034,-0.033,-0.038,0.004,0.032,-0.022
sum_first_ion_en_mult_X,0.016,-0.018,0.018,0.024,0.028,-0.011,0.013,-0.022,-0.001,-0.018
sum_first_ion_en_mult_atom_mass,-0.004,0.013,0.038,-0.003,0.024,-0.024,0.008,-0.015,0.015,0.005
sum_first_ion_en_mult_atom_rad,0.003,0.015,0.021,0.007,0.006,-0.014,0.024,-0.035,0.02,-0.032
sum_first_ion_en_mult_bp,0.027,-0.015,0.026,-0.009,0.013,-0.009,0.003,-0.003,0.006,-0.012
sum_first_ion_en_mult_elec_aff,0.013,-0.014,0.017,-0.009,0.035,-0.02,0.008,-0.04,-0.016,0.018
sum_first_ion_en_mult_mol_vol,-0.028,-0.001,0.006,-0.002,-0.008,-0.023,0.027,-0.015,0.024,-0.003
sum_first_ion_en_mult_mp,0.034,-0.001,0.005,-0.007,-0.009,-0.021,0.006,-0.008,0.006,-0.002
sum_first_ion_en_mult_therm_cond,0.029,-0.012,-0.015,-0.002,-0.003,-0.009,-0.007,-0.002,0.002,0.005
sum_first_ion_en_mult_voro_coord,0.032,0.025,0.019,0.011,-0.01,0.02,0.015,-0.02,-0.018,0.011
sum_first_ion_en_subs_X,0.014,-0.01,0.006,0.011,0.003,-0.017,0.035,-0.03,0.018,-0.013
sum_first_ion_en_subs_atom_mass,0.008,-0.018,-0.034,0.011,-0.018,0.015,-0.005,0.008,-0.015,-0.001
sum_first_ion_en_subs_atom_rad,0.017,-0.019,0.008,0.019,0.015,-0.014,0.027,-0.024,0.01,-0.015
sum_first_ion_en_subs_bp,-0.022,0.011,-0.028,0.02,-0.006,-0.003,0.003,-0.007,-0.008,0.021
sum_first_ion_en_subs_elec_aff,0.014,-0.011,0.008,0.027,0.002,-0.008,0.031,-0.017,0.025,-0.035
sum_first_ion_en_subs_hfus,0.016,-0.01,0.012,0.019,0.017,-0.011,0.027,-0.03,0.014,-0.024
sum_first_ion_en_subs_mol_vol,0.029,-0.01,0.0,0.016,0.013,0.006,-0.007,0.002,-0.015,-0.002
sum_first_ion_en_subs_mp,-0.033,-0.005,-0.002,0.016,0.019,0.017,-0.007,0.003,-0.008,0.007
sum_first_ion_en_subs_polzbl,0.014,-0.015,-0.009,0.028,0.025,-0.009,0.004,-0.003,-0.002,0.004
sum_first_ion_en_subs_therm_cond,-0.029,0.009,0.018,0.002,0.005,0.007,0.011,-0.001,-0.004,-0.006
sum_first_ion_en_subs_voro_coord,-0.019,-0.035,-0.013,-0.0,0.026,-0.033,-0.005,0.007,0.024,-0.018
sum_hfus,0.014,-0.031,-0.008,-0.01,-0.012,-0.021,0.026,-0.001,0.005,0.002
sum_hfus_add_X,0.017,-0.023,0.012,0.018,0.025,-0.003,0.01,-0.012,-0.001,-0.029
sum_hfus_add_atom_mass,-0.008,0.017,0.034,-0.011,0.018,-0.015,0.006,-0.009,0.015,0.001
sum_hfus_add_atom_rad,-0.002,0.014,0.006,-0.026,-0.017,-0.0,0.019,-0.019,0.02,-0.039
sum_hfus_add_bp,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_hfus_add_elec_aff,0.015,-0.018,0.008,-0.016,0.027,-0.019,0.013,-0.034,-0.015,0.015
sum_hfus_add_first_ion_en,0.017,-0.016,0.009,0.015,0.012,-0.014,0.03,-0.027,0.014,-0.021
sum_hfus_add_mol_vol,-0.028,0.007,0.002,-0.015,-0.012,-0.009,0.015,-0.008,0.019,-0.003
sum_hfus_add_mp,0.033,0.005,0.002,-0.016,-0.019,-0.017,0.007,-0.003,0.008,-0.007
sum_hfus_add_polzbl,-0.012,0.014,0.011,-0.029,-0.025,0.007,0.001,-0.001,0.005,-0.008
sum_hfus_add_therm_cond,0.029,-0.01,-0.017,-0.002,-0.004,-0.007,-0.01,0.0,0.004,0.005
sum_hfus_add_voro_coord,0.025,0.031,0.016,0.005,-0.023,0.03,0.016,-0.017,-0.021,0.012
sum_hfus_divi_atom_mass,0.01,-0.032,-0.022,-0.011,-0.014,-0.004,0.009,-0.005,-0.006,-0.005
sum_hfus_divi_atom_rad,0.013,-0.033,-0.011,-0.01,-0.011,-0.017,0.021,-0.002,0.002,0.003
